	FP3194  TIM-JPL 42cm-1 LPE	03 Aug 2022		
37.560697	0.8984273238			
37.623194	0.8965340619			
37.685691	0.8958265709			
37.748188	0.8954626275			
37.810685	0.8954468927			
37.873182	0.8957413884			
37.935679	0.895434827			
37.998176	0.8942712986			
38.060673	0.8933380557			
38.12317	0.8932324924			
38.185667	0.8932532634			
38.248164	0.8931968313			
38.310661	0.8941406832			
38.373158	0.8963736355			
38.435655	0.8980402566			
38.498152	0.8971278287			
38.560649	0.8946352294			
38.623146	0.8936756533			
38.685643	0.8952753839			
38.74814	0.8969481226			
38.810637	0.8956841815			
38.873134	0.8916832893			
38.935631	0.8877107218			
38.998128	0.885751595			
39.060625	0.8857084724			
39.123122	0.8862829932			
39.185619	0.8863923343			
39.248116	0.8859074114			
39.310613	0.8853391043			
39.37311	0.885022813			
39.435607	0.8847335112			
39.498104	0.884273992			
39.560601	0.884022187			
39.623098	0.8842651036			
39.685595	0.8844632382			
39.748092	0.8840776144			
39.810589	0.8837331101			
39.873086	0.884314316			
39.935583	0.8855095158			
39.99808	0.8864804765			
40.060577	0.8875200295			
40.123074	0.8898081998			
40.185571	0.8933246012			
40.248068	0.896118784			
40.310565	0.8964222645			
40.373062	0.8946328354			
40.435559	0.8926151389			
40.498056	0.8919574835			
40.560553	0.8929639202			
40.62305	0.8947142913			
40.685547	0.8961700217			
40.748044	0.8973299606			
40.810541	0.899036719			
40.873038	0.9016329916			
40.935535	0.9041274848			
40.998032	0.9050069439			
41.060529	0.9039049166			
41.123026	0.9019062699			
41.185523	0.9002617027			
41.24802	0.8994730919			
41.310517	0.8993910132			
41.373014	0.8996698656			
41.435511	0.9000711693			
41.498008	0.900498321			
41.560505	0.9008669728			
41.623002	0.9009862422			
41.685499	0.9006798925			
41.747996	0.9000991902			
41.810493	0.8997187851			
41.87299	0.8998356301			
41.935487	0.9002317684			
41.997984	0.9005166455			
42.060481	0.9005940114			
42.122978	0.900645565			
42.185475	0.9008914867			
42.247972	0.901451909			
42.310469	0.9021869916			
42.372966	0.902625339			
42.435463	0.9024170817			
42.49796	0.9020502145			
42.560457	0.9025549297			
42.622954	0.9040645516			
42.685451	0.905532726			
42.747948	0.9062518788			
42.810445	0.9066474734			
42.872942	0.90733488			
42.935439	0.9081939645			
42.997936	0.9087586259			
43.060433	0.9089900434			
43.12293	0.9091059196			
43.185427	0.9090254207			
43.247924	0.9085078647			
43.310421	0.9077094686			
43.372918	0.9071218449			
43.435415	0.9069349667			
43.497912	0.9068569515			
43.560409	0.9065247593			
43.622906	0.9058606141			
43.685403	0.9050511126			
43.7479	0.9043073354			
43.810397	0.9036781572			
43.872894	0.9030930448			
43.935391	0.902558494			
43.997888	0.9021640472			
44.060385	0.9017749692			
44.122882	0.9008827124			
44.185379	0.8991493903			
44.247876	0.8970156874			
44.310373	0.8952683559			
44.37287	0.8941016549			
44.435367	0.8930640584			
44.497864	0.8919773205			
