#	FP3109  TIM-JPL 33cm-1 LPE	29 Mar 2022		
10.062017	0.7256275857		
10.124514	0.7650816626		
36.748236	0.005059937996			
36.810733	0.004895503105			
36.87323	0.004365450822			
36.935727	0.003585250081			
36.998224	0.003130674069			
37.060721	0.003249134902			
37.123218	0.003643672408			
37.185715	0.004007510168			
37.248212	0.004364438002			
37.310709	0.004813519814			
37.373206	0.005230779458			
37.435703	0.005390726401			
37.4982	0.005222342983			
37.560697	0.004777043405			
37.623194	0.00408968645			
37.685691	0.003320545791			
37.748188	0.002923234765			
37.810685	0.003292498921			
37.873182	0.00417165429			
37.935679	0.004703743332			
37.998176	0.004250997381			
38.060673	0.003036951989			
38.12317	0.00187097164			
38.185667	0.001334263137			
38.248164	0.001341202291			
38.310661	0.001471859899			
38.373158	0.001494934428			
38.435655	0.001434677228			
38.498152	0.001320605344			
38.560649	0.001084867494			
38.623146	0.000739122531			
38.685643	0.0004939479533			
38.74814	0.0005490730998			
38.810637	0.0008125802746			
38.873134	0.0009836917511			
38.935631	0.0009287353844			
38.998128	0.0007909042248			
39.060625	0.0006825678342			
39.123122	0.0005025352088			
39.185619	0.0002127872094			
39.248116	0.0000946596724			
39.310613	0.0004724307258			
39.37311	0.001184186865			
39.435607	0.001597651595			
39.498104	0.001381250134			
39.560601	0.000989365533			
39.623098	0.001092645216			
39.685595	0.001719224646			
39.748092	0.002247903491			
39.810589	0.002236667688			
39.873086	0.001890445015			
39.935583	0.001620450046			
39.99808	0.001524685293			
40.060577	0.001447632191			
40.123074	0.001310318575			
40.185571	0.001195534626			
40.248068	0.001199472437			
40.310565	0.00135748335			
40.373062	0.001657834277			
40.435559	0.001987077271			
40.498056	0.002110391931			
40.560553	0.001868830265			
40.62305	0.00140706988			
40.685547	0.00106690964			
40.748044	0.001030636023			
40.810541	0.001166469567			
40.873038	0.001200822569			
40.935535	0.0009595503225			
40.998032	0.0004841951788			
41.060529	0.000001083286716			
41.123026	-0.0002243032308			
41.185523	-0.00008542382079			
41.24802	0.0002528597308			
41.310517	0.0004843312556			
41.373014	0.0004732511943			
41.435511	0.000383409288			
41.498008	0.000454523197			
41.560505	0.0007325223351			
41.623002	0.001058559936			
41.685499	0.001271856367			
41.747996	0.001344286539			
41.810493	0.001309738849			
41.87299	0.001187732991			
41.935487	0.001054113038			
41.997984	0.001084357955			
42.060481	0.001393891676			
42.122978	0.001837667166			
42.185475	0.002087828923			
42.247972	0.001979960347			
42.310469	0.001696868857			
42.372966	0.001540618154			
42.435463	0.001574255352			
42.49796	0.00154560953			
42.560457	0.001214813078			
42.622954	0.0007245280014			
42.685451	0.0004828411741			
42.747948	0.0006811459192			
42.810445	0.001081855584			
42.872942	0.001286488173			
42.935439	0.001148804958			
42.997936	0.0008822185164			
43.060433	0.0007521832628			
43.12293	0.0007730794287			
43.185427	0.0007634754965			
43.247924	0.0006069787928			
43.310421	0.0003806789207			
43.372918	0.0002238686918			
43.435415	0.0001677234187			
43.497912	0.0001635052906			
43.560409	0.0002103273897			
43.622906	0.000369211907			
43.685403	0.0006501964674			
43.7479	0.0009458012364			
43.810397	0.001120541517			
43.872894	0.001141255871			
43.935391	0.001078343501			
43.997888	0.001004961546			
44.060385	0.0009394932612			
44.122882	0.0008646548276			
44.185379	0.0007670497865			
44.247876	0.0006674891246			
44.310373	0.0006402169967			
44.37287	0.0007849230466			
44.435367	0.00111086371			
44.497864	0.001437458766			
44.560361	0.001514600245			
44.622858	0.001302439274			
44.685355	0.001046831238			
44.747852	0.001030529837			
44.810349	0.001293306674			
44.872846	0.001602537			
44.935343	0.001686180567			
44.99784	0.001489784925			
45.060337	0.001190353156			
45.122834	0.0009981357088			
45.185331	0.0009873559213			
45.247828	0.001076673822			
45.310325	0.0011286461			
45.372822	0.001067425406			
45.435319	0.0009116957522			
45.497816	0.0007351194051			
45.560313	0.0006325246879			
45.62281	0.000693560858			
45.685307	0.0009315624837			
45.747804	0.001214562442			
45.810301	0.00134209076			
45.872798	0.001236486245			
45.935295	0.001007282057			
45.997792	0.0008054255032			
46.060289	0.0006738330858			
46.122786	0.000593173422			
46.185283	0.0006141153585			
46.24778	0.0008154800626			
46.310277	0.001134033496			
